gene,p_value,coefficients,variance_explained
Zfp451,0.9939863282986259,"[ 5.67488718e-04 -1.36284315e-03 -3.52676445e-03 -3.56293501e-03
 -3.30917603e-03  1.11942252e-02 -9.55396409e-01]","OrderedDict([('explained_deviance', 8.287239239290756e-07), ('McFadden', 0.9999991455153245), ('McFadden_adj', -2.008608111836452e-06)])"
Bend6,0.9839279622230029,"[-0.00159144 -0.00155176 -0.00174229 -0.00791583 -0.00377462  0.01657593
 -0.97104954]","OrderedDict([('explained_deviance', 2.739299566512088e-06), ('McFadden', 0.999997112593771), ('McFadden_adj', 1.0671088801483819e-07)])"
Dst,0.9342144604304703,"[-0.02752625 -0.0077642   0.01828546 -0.01832135 -0.02475528  0.06008162
 -0.97337923]","OrderedDict([('explained_deviance', 9.753136930967798e-06), ('McFadden', 0.9999896851041573), ('McFadden_adj', 7.579079800201782e-06)])"
Ccdc115,0.9892098559576425,"[ 0.0199718   0.00576932 -0.01365701  0.00833215  0.00985775 -0.03027401
 -0.95202828]","OrderedDict([('explained_deviance', 2.3834685728418847e-06), ('McFadden', 0.9999976555298353), ('McFadden_adj', -5.583467324044022e-07)])"
Imp4,0.9997442105606816,"[ 0.01045338  0.00300544 -0.0071628   0.00444771  0.00563448 -0.01637822
 -0.99253111]","OrderedDict([('explained_deviance', 6.959157103914038e-07), ('McFadden', 0.9999993255278664), ('McFadden_adj', -2.022204231399982e-06)])"
Ptpn18,0.9984436367570663,"[-0.00656664 -0.00247612  0.00355025 -0.00218785 -0.00106542  0.00874578
 -0.97975932]","OrderedDict([('explained_deviance', 9.765664287231246e-07), ('McFadden', 0.9999987454611805), ('McFadden_adj', -1.491521361085546e-06)])"
Amer3,0.9849027239556629,"[ 0.00567778  0.00119366 -0.00417648  0.00621167  0.01068784 -0.01959447
 -0.95496367]","OrderedDict([('explained_deviance', 4.782831710792301e-06), ('McFadden', 0.9999941712784816), ('McFadden_adj', 2.938996049417497e-06)])"
Arhgef4,0.9901291004102638,"[ 0.00738961  0.00380123 -0.00154267  0.00795298  0.01269184 -0.03029301
 -0.93408024]","OrderedDict([('explained_deviance', 1.6013921693147637e-06), ('McFadden', 0.99999822118162), ('McFadden_adj', -1.2199553791614193e-06)])"
Fam168b,0.9972181212855309,"[-0.01013095 -0.00424587  0.00490316 -0.00215418 -0.00585541  0.01748324
 -1.0024029 ]","OrderedDict([('explained_deviance', 1.8820336864511233e-06), ('McFadden', 0.9999977895899984), ('McFadden_adj', -4.201015075810943e-07)])"
Plekhb2,0.9950530912494482,"[-5.49211272e-03 -1.83131088e-04  5.83153788e-03 -5.15414991e-03
 -6.07089947e-03  1.10687502e-02 -1.01662915e+00]","OrderedDict([('explained_deviance', 2.7056726918939233e-06), ('McFadden', 0.9999966190836163), ('McFadden_adj', 8.144120550168665e-07)])"
1110002O04Rik,0.9477049345562154,"[-0.00899161 -0.00234346  0.00726101  0.00147495 -0.00207072  0.00466982
 -1.01134721]","OrderedDict([('explained_deviance', 3.5745011838228535e-06), ('McFadden', 0.9999958893890528), ('McFadden_adj', 1.5064137495190977e-06)])"
Hs6st1,0.98839075481585,"[-8.57317985e-04  1.07248232e-03  2.89931783e-03 -3.20728035e-04
 -7.51607231e-03  4.72231333e-03 -9.77466845e-01]","OrderedDict([('explained_deviance', 7.003908057190422e-06), ('McFadden', 0.9999916947855865), ('McFadden_adj', 5.551350881871642e-06)])"
Uggt1,0.9999083038195208,"[-4.97456045e-03 -3.39173309e-03 -4.24796459e-04 -5.40403751e-03
 -3.73415869e-03  1.79292815e-02 -9.49273120e-01]","OrderedDict([('explained_deviance', 1.2450641213579416e-06), ('McFadden', 0.9999987033990039), ('McFadden_adj', -1.5840340121808794e-06)])"
Arid5a,0.9893166613182146,"[ 2.27085819e-03  2.80925519e-03  2.29472265e-03  1.73580394e-03
  3.74856099e-04 -9.48550116e-03 -1.02768282e+00]","OrderedDict([('explained_deviance', 2.330434285657823e-06), ('McFadden', 0.9999971495110435), ('McFadden_adj', 3.247196762590221e-07)])"
Kansl3,0.9995592127068158,"[ 0.00667467  0.00294236 -0.00286961  0.00223696  0.00193171 -0.01091611
 -0.97958855]","OrderedDict([('explained_deviance', 1.1208971137932622e-06), ('McFadden', 0.9999985666449951), ('McFadden_adj', -1.3180149462943547e-06)])"
